标题,发布日期,抓取日期,机构,研究员,分析结果,URL
瑞丰新材(300910)：全年业绩保持稳步增长 积极向中高端产品升级,2026-03-23,2026-08-19,招商证券股份有限公司,周铮/曹承安,"{""归母净利润"": {""2026"": 8.86, ""2027"": 10.86, ""2028"": 13.0}, ""EPS(元)"": {""2026"": 2.99, ""2027"": 3.67, ""2028"": 4.4}, ""PE(倍)"": {""2026"": 16.0, ""2027"": 13.0, ""2028"": 11.0}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/827578534355/index.phtml
瑞丰新材(300910)：润滑油添加剂领军企业 国内扩产&海...,2025-12-31,2026-08-19,东方财富证券股份有限公司,张志扬/梅宇鑫/马小萱/汪智谦,"{""营业收入(亿元)"": {""2025"": 37.58, ""2026"": 44.19, ""2027"": 51.8}, ""归母净利润(亿元)"": {""2025"": 8.2, ""2026"": 9.62, ""2027"": 11.29}, ""PE(倍)"": {""2025"": 21.04, ""2026"": 17.93, ""2027"": 15.29}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/820548836573/index.phtml
瑞丰新材(300910)：三季度业绩环比增长 拟在沙特建立生...,2025-11-01,2026-08-19,中原证券股份有限公司,石临源,"{""营业收入(亿元)"": {""2025"": 38.52, ""2026"": 44.11, ""2027"": 49.49}, ""净利润(亿元)"": {""2025"": 8.91, ""2026"": 10.24, ""2027"": 11.68}, ""EPS(元)"": {""2025"": 3.01, ""2026"": 3.46, ""2027"": 3.95}, ""PE(倍)"": {""2025"": 18.16, ""2026"": 15.8, ""2027"": 13.86}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/815296380370/index.phtml
瑞丰新材(300910)：产销放量盈利同环比提升 海外布局提...,2025-10-30,2026-08-19,华安证券股份有限公司,王强峰/潘宁馨,"{""归母净利润(亿元)"": {""2025"": 8.2, ""2026"": 9.36, ""2027"": 11.3}, ""PE(倍)"": {""2025"": 19.73, ""2026"": 17.3, ""2027"": 14.32}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/815181731933/index.phtml
瑞丰新材(300910)：Q3业绩同环比增长 成立沙特合资公...,2025-10-30,2026-08-19,长江证券股份有限公司,马太/叶家宏,"{""归母净利润(亿元)"": {""2025"": 8.0, ""2026"": 11.0, ""2027"": 13.9}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/815160379285/index.phtml
瑞丰新材(300910)：润滑油添加剂市场稳中有增 布局海外...,2025-10-30,2026-08-19,山西证券股份有限公司,李旋坤/王金源,"{""归母净利润(亿元)"": {""2025"": 7.9, ""2026"": 9.2, ""2027"": 10.6}, ""PE(倍)"": {""2025"": 21.0, ""2026"": 18.0, ""2027"": 16.0}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/815132872886/index.phtml
瑞丰新材(300910)：业绩符合预期 出口需求保持强势 加...,2025-10-28,2026-08-19,上海申银万国证券研究所有限公司,邵靖宇/宋涛,"{""归母净利润(亿元)"": {""2026"": 10.9, ""2027"": 13.2}, ""PE(X)"": {""2026"": 19.0, ""2027"": 14.0, ""2028"": 12.0}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/814973372306/index.phtml
瑞丰新材(300910)：三季度业绩稳步增长 设立合资公司增...,2025-10-28,2026-08-19,招商证券股份有限公司,周铮/曹承安,"{""归母净利润(亿元)"": {""2025"": 7.84, ""2026"": 9.48, ""2027"": 11.5}, ""EPS(元)"": {""2025"": 2.65, ""2026"": 3.2, ""2027"": 3.89}, ""PE(倍)"": {""2025"": 19.7, ""2026"": 16.3, ""2027"": 13.5}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/814968240816/index.phtml
瑞丰新材(300910)：Q2业绩同比增长 国产化持续推进,2025-08-28,2026-08-19,长江证券股份有限公司,马太/叶家宏,"{""归母净利润(亿元)"": {""2025"": 8.3, ""2026"": 11.0, ""2027"": 13.9}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/809748139167/index.phtml
瑞丰新材(300910)：业绩基本符合预期 贸易流通影响短期...,2025-08-28,2026-08-19,上海申银万国证券研究所有限公司,邵靖宇/宋涛,"{""归母净利润(亿元)"": {""2025"": 8.9, ""2026"": 10.94, ""2027"": 13.19}, ""PE(X)"": {""2025"": 20.0, ""2026"": 16.0, ""2027"": 14.0}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/809710471756/index.phtml
瑞丰新材(300910)：业绩同比改善 盈利能力提升,2025-08-27,2026-08-19,华安证券股份有限公司,王强峰/潘宁馨,"{""归母净利润(亿元)"": {""2025"": 8.78, ""2026"": 10.45, ""2027"": 13.17}, ""PE(倍)"": {""2025"": 21.62, ""2026"": 18.15, ""2027"": 14.41}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/809623489865/index.phtml
瑞丰新材(300910)：盈利稳定增长 添加剂需求向好,2025-08-26,2026-08-19,山西证券股份有限公司,李旋坤/程俊杰,"{""归母净利润(亿元)"": {""2025"": 8.83, ""2026"": 10.11, ""2027"": 11.6}, ""PE(倍)"": {""2025"": 21.3, ""2026"": 18.6, ""2027"": 16.2}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/809540035811/index.phtml
瑞丰新材(300910)：25H1利润同比增长 润滑油添加剂毛利率提升,2025-08-26,2026-08-19,华鑫证券有限责任公司,张伟保,"{""归母净利润(亿元)"": {""2025"": 8.66, ""2026"": 10.69, ""2027"": 12.89}, ""PE(倍)"": {""2025"": 21.9, ""2026"": 17.7, ""2027"": 14.7}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/809526814377/index.phtml
瑞丰新材(300910)：上半年业绩稳健增长 盈利能力进一步提升,2025-08-24,2026-08-19,招商证券股份有限公司,周铮/曹承安,"{""归母净利润(亿元)"": {""2025"": 8.25, ""2026"": 10.04, ""2027"": 12.21}, ""EPS(元)"": {""2025"": 2.79, ""2026"": 3.39, ""2027"": 4.13}, ""PE(倍)"": {""2025"": 23.0, ""2026"": 19.0, ""2027"": 15.0}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/809359012261/index.phtml
瑞丰新材(300910)：扩产项目将落地 国产添加剂龙头驶入快车道,2025-06-24,2026-08-19,西部证券股份有限公司,孙维容,"{""归母净利润(亿元)"": {""2025"": 8.62, ""2026"": 11.4, ""2027"": 12.92}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/804123106578/index.phtml
瑞丰新材(300910)：国内润滑油添加剂龙头企业 技术突破...,2025-06-14,2026-08-19,华鑫证券有限责任公司,张伟保,"{""归母净利润(亿元)"": {""2025"": 8.66, ""2026"": 10.69, ""2027"": 12.89}, ""PE"": {""2025"": 19.6, ""2026"": 15.9, ""2027"": 13.2}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/803250914275/index.phtml
瑞丰新材(300910)：业绩符合预期 量价维持景气 规模优势持续显现,2025-05-07,2026-08-19,上海申银万国证券研究所有限公司,邵靖宇/宋涛,"{""归母净利润(亿元)"": {""2025"": 8.9, ""2026"": 10.94, ""2027"": 13.19}, ""PE(X)"": {""2025"": 20.0, ""2026"": 16.0, ""2027"": 14.0}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/799950120365/index.phtml
瑞丰新材(300910)：Q1利润同比增长 国产替代不断突破,2025-04-24,2026-08-19,长江证券股份有限公司,马太/叶家宏,"{""归母净利润(亿元)"": {""2025"": 9.1, ""2026"": 11.4, ""2027"": 14.0}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/798858402772/index.phtml
瑞丰新材(300910)：Q1业绩大幅增长 添加剂需求向好,2025-04-24,2026-08-19,山西证券股份有限公司,李旋坤/程俊杰,"{""归母净利润(亿元)"": {""2025"": 9.17, ""2026"": 10.39, ""2027"": 11.93}, ""PE(倍)"": {""2025"": 19.6, ""2026"": 17.3, ""2027"": 15.0}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/798841468176/index.phtml
瑞丰新材(300910)：一季度业绩符合预期 有望持续稳健增长,2025-04-22,2026-08-19,招商证券股份有限公司,周铮/曹承安,"{""归母净利润(亿元)"": {""2025"": 8.89, ""2026"": 10.63, ""2027"": 12.71}, ""EPS(元)"": {""2025"": 3.05, ""2026"": 3.64, ""2027"": 4.36}, ""PE(倍)"": {""2025"": 20.8, ""2026"": 17.4, ""2027"": 14.5}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/798652915486/index.phtml
瑞丰新材(300910)：四季度海外需求旺盛 产能建设稳步推进,2025-04-19,2026-08-19,中原证券股份有限公司,石临源,"{""营业收入(亿元)"": {""2025"": 38.52, ""2026"": 44.11, ""2027"": 49.49}, ""净利润(亿元)"": {""2025"": 8.86, ""2026"": 10.17, ""2027"": 11.6}, ""EPS(元)"": {""2025"": 3.04, ""2026"": 3.48, ""2027"": 3.98}, ""PE(倍)"": {""2025"": 19.9, ""2026"": 17.34, ""2027"": 15.2}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/798362011741/index.phtml
瑞丰新材(300910)：复合剂转型与全球化驱动构筑成长新空间,2025-04-10,2026-08-19,华鑫证券有限责任公司,张伟保,"{""归母净利润(亿元)"": {""2025"": 8.66, ""2026"": 10.69, ""2027"": 12.89}, ""PE(倍)"": {""2025"": 18.8, ""2026"": 15.2, ""2027"": 12.6}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/797592764005/index.phtml
瑞丰新材(300910)：2024Q4业绩显著提升 量增助力公司长期成长,2025-04-08,2026-08-19,东方财富证券股份有限公司,张志扬/梅宇鑫,"{""营业收入(亿元)"": {""2025"": 38.91, ""2026"": 45.75, ""2027"": 53.63}, ""归母净利润(亿元)"": {""2025"": 8.5, ""2026"": 9.96, ""2027"": 11.69}, ""PE(倍)"": {""2025"": 19.14, ""2026"": 16.33, ""2027"": 13.92}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/797452072748/index.phtml
瑞丰新材(300910)：业绩略超预期 Q4出口需求旺盛 海外加速布局,2025-04-03,2026-08-19,上海申银万国证券研究所有限公司,邵靖宇/宋涛,"{""归母净利润(亿元)"": {""2025"": 8.9, ""2026"": 10.94}, ""PE(X)"": {""2025"": 18.0, ""2026"": 15.0, ""2027"": 12.0}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/797015754505/index.phtml
瑞丰新材(300910)：润滑油添加剂放量增长 国内进口替代加速,2025-04-02,2026-08-19,华安证券股份有限公司,王强峰/潘宁馨,"{""归母净利润(亿元)"": {""2025"": 8.68, ""2026"": 10.55, ""2027"": 12.8}, ""PE(倍)"": {""2025"": 18.66, ""2026"": 15.35, ""2027"": 12.65}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/796955282207/index.phtml
瑞丰新材(300910)：公司营业收入及归母净利润实现稳定增长,2025-04-02,2026-08-19,海通证券股份有限公司,刘威/张翠翠,"{""归母净利润(亿元)"": {""2025"": 8.68, ""2026"": 10.76, ""2027"": 13.08}, ""EPS(元)"": {""2025"": 2.97, ""2026"": 3.69, ""2027"": 4.48}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/796909492662/index.phtml
瑞丰新材(300910)：业绩符合预期 盈利明显改善,2025-04-01,2026-08-19,山西证券股份有限公司,李旋坤/程俊杰,"{""归母净利润(亿元)"": {""2025"": 8.8, ""2026"": 10.23, ""2027"": 11.78}, ""PE(倍)"": {""2024"": 18.2, ""2025"": 15.7, ""2026"": 13.6}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/796851652013/index.phtml
瑞丰新材(300910)：Q4利润大幅增长 国产替代持续推进,2025-03-31,2026-08-19,长江证券股份有限公司,马太/叶家宏,"{""归母净利润(亿元)"": {""2025"": 9.5, ""2026"": 12.0, ""2027"": 15.0}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/796785016772/index.phtml
瑞丰新材(300910)：24Q4业绩超预期 量增持续保障成长,2025-03-31,2026-08-19,国泰海通证券股份有限公司,沈唯,"{""EPS(元)"": {""2025"": 2.89, ""2026"": 3.48, ""2027"": 4.09}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/796766765859/index.phtml
瑞丰新材(300910)：四季度业绩大幅增长 拓展全球市场成长空间大,2025-03-30,2026-08-19,招商证券股份有限公司,周铮/曹承安,"{""归母净利润(亿元)"": {""2025"": 8.89, ""2026"": 10.63, ""2027"": 12.71}, ""EPS(元)"": {""2025"": 3.05, ""2026"": 3.64, ""2027"": 4.36}, ""PE(倍)"": {""2025"": 18.0, ""2026"": 15.0, ""2027"": 13.0}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/796646634944/index.phtml
瑞丰新材(300910)：把握国产替代机遇 国内润滑油添加剂...,2024-12-30,2026-08-19,中原证券股份有限公司,顾敏豪/石临源,"{""营业收入(亿元)"": {""2024"": 32.99, ""2025"": 38.67, ""2026"": 44.32}, ""归母净利润(亿元)"": {""2024"": 7.07, ""2025"": 8.33, ""2026"": 10.21}, ""PE(倍)"": {""2024"": 18.48, ""2025"": 15.68, ""2026"": 12.8}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/788883708119/index.phtml
瑞丰新材(300910)：润滑油添加剂结构优化 24Q3利润环比改善,2024-11-06,2026-08-19,山西证券股份有限公司,李旋坤/程俊杰,"{""归母净利润(亿元)"": {""2024"": 7.08, ""2025"": 8.79, ""2026"": 9.67}, ""PE(倍)"": {""2024"": 18.3, ""2025"": 14.7, ""2026"": 13.4}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/784255454077/index.phtml
瑞丰新材(300910)：业绩符合预期 三季度出货维持稳定 ...,2024-11-01,2026-08-19,上海申银万国证券研究所有限公司,邵靖宇/宋涛,"{""归母净利润(亿元)"": {""2024"": 7.06, ""2025"": 10.14, ""2026"": 12.81}, ""PE(X)"": {""2024"": 18.0, ""2025"": 12.0, ""2026"": 10.0}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/783795321178/index.phtml
瑞丰新材(300910)：Q3业绩环比增长 长期战略稳步推进,2024-10-30,2026-08-19,长江证券股份有限公司,马太/叶家宏,"{""归母净利润(亿元)"": {""2024"": 7.1, ""2025"": 9.6, ""2026"": 12.9}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/783647124442/index.phtml
瑞丰新材(300910)：Q3业绩符合预期 大客户持续放量,2024-10-25,2026-08-19,中信建投证券股份有限公司,卢昊/陶爱普,"{""归母净利润(亿元)"": {""2024"": 6.81, ""2025"": 8.51, ""2026"": 10.46}, ""PE"": {""2024"": 19.3, ""2025"": 15.5, ""2026"": 12.0}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/783185480281/index.phtml
瑞丰新材(300910)：24Q3业绩符合预期 扣非略低于预期,2024-10-24,2026-08-19,国泰海通证券股份有限公司,沈唯,"{""EPS(元)"": {""2024"": 2.33, ""2025"": 2.77, ""2026"": 3.34}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/783129107909/index.phtml
瑞丰新材(300910)：3Q24业绩环比保持增长 盈利能力稳步提升,2024-10-24,2026-08-19,华安证券股份有限公司,王强峰/刘旭升,"{""归母净利润(亿元)"": {""2024"": 7.5, ""2025"": 9.4, ""2026"": 12.1}, ""PE(X)"": {""2024"": 18.0, ""2025"": 14.0, ""2026"": 11.0}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/783077393916/index.phtml
瑞丰新材(300910)：国内润滑油添加剂龙头 加快实现进口替代,2024-09-26,2026-08-19,海通证券股份有限公司,刘威/张翠翠,"{""归母净利润(亿元)"": {""2024"": 7.15, ""2025"": 8.39, ""2026"": 10.39}, ""EPS(元)"": {""2024"": 2.45, ""2025"": 2.87, ""2026"": 3.56}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/780671609951/index.phtml
瑞丰新材(300910)：复合剂销量稳步增长叠加产业链延伸 ...,2024-09-05,2026-08-19,中原证券股份有限公司,顾敏豪/石临源,"{""营业收入(亿元)"": {""2024"": 32.49, ""2025"": 40.52, ""2026"": 44.51}, ""净利润(亿元)"": {""2024"": 6.84, ""2025"": 8.46, ""2026"": 9.52}, ""EPS(元)"": {""2024"": 2.34, ""2025"": 2.9, ""2026"": 3.26}, ""PE(倍)"": {""2024"": 15.79, ""2025"": 12.77, ""2026"": 11.35}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/778892777776/index.phtml
瑞丰新材(300910)：Q2业绩略低于预期 出口趋势保持良好,2024-09-01,2026-08-19,国泰海通证券股份有限公司,钟浩/沈唯,"{""EPS(元)"": {""2024"": 2.43, ""2025"": 3.08, ""2026"": 3.64}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/778542680674/index.phtml
瑞丰新材(300910)：业绩基本符合预期 核心客户突破叠加...,2024-08-29,2026-08-19,上海申银万国证券研究所有限公司,邵靖宇/宋涛,"{""归母净利润(亿元)"": {""2025"": 10.14, ""2026"": 12.81}, ""PE(X)"": {""2025"": 15.0, ""2026"": 11.0, ""2027"": 9.0}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/778294349949/index.phtml
瑞丰新材(300910)：上半年业绩同比大幅增长 核心客户准...,2024-08-27,2026-08-19,华安证券股份有限公司,王强峰/刘旭升,"{""归母净利润(亿元)"": {""2024"": 7.5, ""2025"": 9.4, ""2026"": 12.0}, ""PE(X)"": {""2024"": 15.0, ""2025"": 12.0, ""2026"": 9.0}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/778085137303/index.phtml
瑞丰新材(300910)：5月出口同比上升 不改长期增长预期,2024-06-25,2026-08-19,国泰海通证券股份有限公司,钟浩/沈唯,"{""EPS(元)"": {""2024"": 2.43, ""2025"": 3.08, ""2026"": 3.64}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/772642071878/index.phtml
瑞丰新材(300910)：业绩略超预期 库存扰动消除出货恢复...,2024-05-23,2026-08-19,上海申银万国证券研究所有限公司,宋涛/邵靖宇,"{""归母净利润(亿元)"": {""2024"": 8.17, ""2025"": 10.14, ""2026"": 12.81}, ""PE(X)"": {""2024"": 18.0, ""2025"": 14.0, ""2026"": 11.0}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/769788939175/index.phtml
瑞丰新材(300910)：Q1业绩超预期 持续布局复剂业务,2024-05-14,2026-08-19,中信建投证券股份有限公司,卢昊,"{""归母净利润(亿元)"": {""2024"": 7.22, ""2025"": 9.1, ""2026"": 11.34}, ""PE(X)"": {""2024"": 20.0, ""2025"": 15.9, ""2026"": 12.8}, ""营业收入(亿元)"": {""2024"": 40.0, ""2025"": 49.4, ""2026"": 60.5}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/769003914302/index.phtml
瑞丰新材(300910)：润滑油添加剂龙头 进口替代打开成长空间,2024-05-08,2026-08-19,山西证券股份有限公司,李旋坤/程俊杰,"{""营业收入(亿元)"": {""2024"": 32.54, ""2025"": 37.31, ""2026"": 39.18}, ""增速(%)"": {""2024"": 19.4, ""2025"": 21.4, ""2026"": 10.0}, ""净利润(亿元)"": {""2024"": 7.24, ""2025"": 8.79, ""2026"": 9.67}, ""EPS(元)"": {""2024"": 2.49, ""2025"": 3.02, ""2026"": 3.32}, ""PE(倍)"": {""2024"": 20.4, ""2025"": 16.8, ""2026"": 15.3}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/768497249215/index.phtml
瑞丰新材(300910)：Q1业绩同比增长 公司战略平稳发展,2024-05-04,2026-08-19,长江证券股份有限公司,马太/叶家宏,"{""归母净利润(亿元)"": {""2024"": 7.6, ""2025"": 9.6, ""2026"": 12.8}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/768114139848/index.phtml
瑞丰新材(300910)：24Q1业绩略超预期 3月出口量大增,2024-05-03,2026-08-19,国泰海通证券股份有限公司,钟浩/沈唯,"{""EPS(元)"": {""2024"": 2.43, ""2025"": 3.08, ""2026"": 3.64}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/768049323056/index.phtml
瑞丰新材(300910)：Q1业绩稳定增长 润滑油需求向好,2024-04-27,2026-08-19,山西证券股份有限公司,李旋坤/程俊杰,"{""归母净利润(亿元)"": {""2024"": 7.24, ""2025"": 8.79, ""2026"": 9.67}, ""PE(倍)"": {""2024"": 18.4, ""2025"": 15.2, ""2026"": 13.8}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/767533423264/index.phtml
瑞丰新材(300910)：一季度业绩超市场预期 有望重回上升通道,2024-04-26,2026-08-19,招商证券股份有限公司,周铮/曹承安,"{""归母净利润(亿元)"": {""2024"": 8.01, ""2025"": 9.9, ""2026"": 11.96}, ""EPS(元)"": {""2024"": 2.75, ""2025"": 3.4, ""2026"": 4.11}, ""PE(倍)"": {""2024"": 16.0, ""2025"": 13.0, ""2026"": 11.0}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/767432743956/index.phtml
瑞丰新材(300910)：业绩符合预期 成本端缓解支撑盈利能...,2024-04-07,2026-08-19,上海申银万国证券研究所有限公司,宋涛,"{""归母净利润(亿元)"": {""2024"": 8.17, ""2025"": 10.14}, ""PE(X)"": {""2024"": 21.0, ""2025"": 17.0, ""2026"": 14.0}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/765836951623/index.phtml
瑞丰新材(300910)：23年业绩同比略增 持续开拓全球市场,2024-03-31,2026-08-19,国泰海通证券股份有限公司,钟浩/沈唯,"{""EPS(元)"": {""2024"": 2.46, ""2025"": 3.11}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/765204491602/index.phtml
瑞丰新材(300910)：业绩实现增长 公司战略平稳发展,2024-03-28,2026-08-19,长江证券股份有限公司,马太/张韦华/叶家宏,"{""归母净利润(亿元)"": {""2024"": 7.6, ""2025"": 9.7, ""2026"": 12.9}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/764917349589/index.phtml
瑞丰新材(300910)：全年业绩保持增长 看好公司市场份额持续提升,2024-03-27,2026-08-19,华安证券股份有限公司,王强峰,"{""归母净利润(亿元)"": {""2024"": 7.5, ""2025"": 9.5, ""2026"": 12.1}, ""PE(X)"": {""2024"": 15.0, ""2025"": 12.0, ""2026"": 9.0}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/764875479861/index.phtml
